- Adeje,"28.1263290229941,-16.743322671"
- Agulo,"28.1728870622202,-17.222670053"
- Alajero,"28.04992464544,-17.24586118513"
- Arafo,"28.3462946286713,-16.398885422"
- Arico,"28.166310725673,-16.4819422965"
- Arona,"28.0376628678951,-16.690448390"
- Barlovento,"28.8164179953269,-17.810256569"
- Brena Alta,"28.6521575393028,-17.803255815"
- Brena Baja,"28.6337953942449,-17.779932714"
- Buenavista del Norte,"28.3423567386905,-16.872179353"
- Candelaria,"28.3580804143401,-16.384250829"
- Fasnia,"28.2319128319775,-16.442110781"
- Frontera,"27.7297537425455,-18.053204479"
- Fuencaliente de la Palma,"28.493292890414,-17.8501284147"
- Garachico,"28.3605137954095,-16.761169601"
- Garafia,"28.8152127109541,-17.918576240"
- Granadilla de Abona,"28.1021119041367,-16.557653980"
- La Guancha,"28.3788883116852,-16.660351896"
- Guia de Isora,"28.1906925072344,-16.796501086"
- Guimar,"28.463938,-16.262598"
- Hermigua,"28.1500857610502,-17.184493956"
- Icod de los Vinos,"28.3670380188941,-16.699920531"
- Los Llanos de Aridane,"28.614636592454,-17.9008444506"
- La Matanza de Acentejo,"28.4451204205056,-16.449739984"
- La Orotava,"28.3193246446715,-16.547616464"
- El Paso,"28.6586994717332,-17.868915720"
- Puerto de la Cruz,"28.4104603216101,-16.546233862"
- Puntagorda,"28.7619436929311,-17.964147734"
- Puntallana,"28.7422258216191,-17.758366160"
- Los Realejos,"28.3819798930947,-16.591040029"
- El Rosario,"28.463938,-16.262598"
- San Andres y Sauces,"28.7839843298107,-17.799739837"
- San Cristobal de La Laguna,"28.463938,-16.262598"
- San Juan de la Rambla,"28.3720494384062,-16.629143142"
- San Miguel de Abona,"28.0971208203361,-16.617851257"
- San Sebastian de la Gomera,"28.0883144814716,-17.152406577"
- Santa Cruz de Tenerife,"28.463938,-16.262598"
- Santa Cruz Palma,"28.7059685225608,-17.794148506"
- Santa ursula,"28.4152962065015,-16.481703363"
- Santiago del Teide,"28.2634769889618,-16.823354392"
- El Sauzal,"28.4613195418501,-16.434625219"
- Los Silos,"28.3584298054185,-16.812944954"
- Tacoronte,"28.493841343888,-16.4129159709"
- El Tanque,"28.3391568408239,-16.780533655"
- Tazacorte,"28.6290030595341,-17.929299586"
- Tegueste,"28.5153737874985,-16.337820524"
- Tijarafe,"28.7089806316212,-17.955415049"
- Valle Gran Rey,"28.1216970469316,-17.320359867"
- Vallehermoso,"28.1537480474806,-17.285581459"
- Valverde,"27.7985655681641,-17.934825641"
- La Victoria de Acentejo,"28.4228763271763,-16.455718925"
- Vilaflor,"28.155989148242,-16.6400187269"
- Villa de Mazo,"28.5884984532099,-17.776867426"